formula,band_gap
MgTi2P2O9,0.0
MgSbRu2,0.0
MgSc2,0.0
MgSc2Al,0.0
MgSc2Ga,0.0
MgSc2In,0.0
MgSc2Mn4O10,0.0
MgSc2Os,0.0
MgSc2Ru,0.0
MgScCd2,0.0
MgScAu2,0.0
MgSc8Ga15Cu29,0.0
MgSc5Al4,0.0
MgSc5,0.0
Mn2V(PO5)2,0.0
MgSc4Ti2O10,0.0
MgSc2Ti2O7,0.0
Mn2TeSe,0.0
Mn2Sb2PtAu,0.0
Mn2Sb2O7,0.0
Mn2Sb,0.0
Mn2Si2O7,0.0
Mn2PdPt,0.0
Mn2Pb2O5,0.0
Mn2P3O11,0.0
Mn2PtRh,0.0
MgScHg2,0.0
Mn2SnW,0.0
Mn2SnTe4,0.0
Mn2SnSe4,0.0
Mn2SnS4,0.0
Mn2SnRu,0.0
Mn2SnO4,0.0
Mn2Sn(PO4)3,0.0
Mn2Sn,0.0
Mn2SiSe4,0.0
Mn2SnPd3,0.0
MgScIr2,0.0
MgScMnS4,0.0
MgScMoS4,0.0
MgSiNiO5,0.0
MgSiIr2,0.0
MgSiRh2,0.0
MgSi,0.0
MgScVS4,0.0
MgScTiS4,0.0
MgScSe3,0.0
MgScPt2,0.0
MgScZn2,0.0
Mn3Ag(PO4)3,0.0
Mn3AgN,0.0
Mn3Al,0.0
Mn3Al9Si,0.0
Mn3AlO6,0.0
Mn3As,0.0
Mn3As2,0.0
Mn3AsN,0.0
Mn3AsO8,0.0
Mn3Co2As3Rh,0.0
Mn3Co(PO4)4,0.0
Mn3Co,0.0
Mn3CdTe4,0.0
Mn3(SiTe3)2,0.0
Mn3C,0.0
Mn3Be,0.0
Mn3BO5,0.0
Mn3B8Mo3,0.0
Mn3B4W,0.0
Mn3B4Mo3,0.0
Mn3B4,0.0
Mn3BiO8,0.0
Mn3(SeN)2,0.0
Mn3(PO4)4,0.0
Mn3(O2F)2,0.0
Mn3Co2Sn(PO4)6,0.0
Mn3(P3Pd10)2,0.0
Mn3(P2O7)2,0.0
Mn3(OF3)2,0.0
Mn3(OF2)2,0.0
Mn3(Ni10P3)2,0.0
Mn3Co2Te3O16,0.0
Mn3Co3(TeO8)2,0.0
Mn3Cu3(TeO8)2,0.0
Mn3Cu3O8,0.0
Mn3CuAs2,0.0
Mn3CuN,0.0
Mn3CuO8,0.0
Mn3Fe,0.0
Mn3Fe(PO4)6,0.0
Mn3Fe2P6WO24,0.0
Mn3Fe2Sb(PO4)6,0.0
Mn3Fe2Sn(PO4)6,0.0
Mn3FeN3,0.0
Mn3FeCo2P3,0.0
Mn3FeCo2(PO4)6,0.0
Mn3FeAs4,0.0
Mn3Fe9P4,0.0
Mn3Fe9C4,0.0
Mn3Cu2Sn(PO4)6,0.0
Mn3Fe8CuO16,0.0
Mn3Fe3O8,0.0
Mn3Fe3N5,0.0
Mn3Fe3(TeO8)2,0.0
Mn3Fe3(CoO8)2,0.0
Mn3Fe3Si2,0.0
Mn3Cu2NiO8,0.0
Mn3Cu2Ni(PO4)6,0.0
Mn3Cu(PO4)4,0.0
Mn3Cr2Sn(PO4)6,0.0
Mn3Cr2Sb(PO4)6,0.0
Mn3Cr2Fe(PO4)6,0.0
Mn3Cr2Co3O16,0.0
Mn3CoSn2(PO4)6,0.0
Mn3Cr2Te3O16,0.0
Mn3CoN3,0.0
Mn3CoCu2(PO4)6,0.0
Mn3CoAs3Rh2,0.0
Mn3Co3(SnO8)2,0.0
Mn3Cr3(CoO8)2,0.0
Mn3Cr3B8,0.0
Mn3CrTe4,0.0
Mn3CrTe2(PO4)6,0.0
Mn3CrP4,0.0
Mn3CrNi2(PO4)6,0.0
Mn3CrN3,0.0
Mn3CrCu2(PO4)6,0.0
Mn3CrAs4,0.0
Mn3Cr8CuS16,0.0
Mn3Cr5O16,0.0
Mn3Cr3Si7Ni16,0.0
Mn3Cr3O8,0.0
Mn3CrCo2(PO4)6,0.0
Mn3(Ni10B3)2,0.0
Mn3(FeN2)2,0.0
MgTiAlS4,0.0
MgTiBO4,0.0
MgTiCoS4,0.0
MgTiCrS4,0.0
MgTiFeS4,0.0
MgTiH4,0.0
MgTiMn(PO4)3,0.0
MgTiVO4,0.0
MgTiS2,0.0
MgTiRh2,0.0
MgTi8(NiO3)8,0.0
MgTiNi(PO4)3,0.0
MgTiNbS4,0.0
MgTiMnS4,0.0
MgTiMn3O8,0.0
MgTiNiS4,0.0
MgTi7H16,0.0
MgTi6AgS12,0.0
MgTl2(CoO3)2,0.0
MgTi6(H2O7)2,0.0
MgTi6(N2O3)2,0.0
MgTl3,0.0
Mn2VSi,0.0
Mn2VNi3(PO4)6,0.0
Mn2VN3,0.0
Mn2VGe,0.0
Mn2V3Sn(PO4)6,0.0
Mn2V3Sb(PO4)6,0.0
Mn2V3P6WO24,0.0
Mn2V3NiO8,0.0
Mn2VGa,0.0
Mn3(CuBi)4,0.0
Mn3(CrN2)2,0.0
Mn3(Co2Ge3)2,0.0
Mn3(Co10B3)2,0.0
Mn3(Al2Si)2,0.0
Mn2ZnTe4,0.0
