formula,band_gap
Ag4Mo2Se3O16,1.6559000000000001
Ag4P2S7,1.6556000000000002
Ag4PIO4,0.6932
Ag4Se(IO2)2,0.7545000000000002
Ag4Sn2(HgSe3)3,0.40349999999999997
Ag4Sn3S8,0.22930000000000028
Ag4Te(PO7)2,0.0807
Ag4TeO5,0.0041999999999999815
Ag4TeSO4,0.6883000000000001
Ag5(PbO3)2,0.0
Ag5(PbO3)2,0.0
Ag5(Sn3S8)2,0.0
Ag5Au3S4,0.9308999999999998
Ag5Au3S4,1.0997
Ag5BiO4,1.459
Ag5GeO4,0.5958000000000001
Ag5Hg4P8Cl5,0.9788000000000001
Ag5HgSbO6,0.0
Ag5IO6,0.020500000000000185
Ag5P(S2Cl)2,1.2689
Ag5PSeO4,0.3075999999999999
Ag5Sb23(PbS4)12,0.0
Ag5SbS4,0.5945
Ag5Te2Br,0.20789999999999997
Ag5Te2Cl,0.23160000000000025
Ag5Te2Cl,0.19849999999999968
Ag5TePO4,0.47129999999999983
Ag6Au2Se3S,0.03729999999999967
Ag6Ge(S2Br)2,0.5586
Ag6Ge(S2Cl)2,0.6229
Ag6Ge2O7,0.009700000000000042
Ag6GeSO8,0.0
Ag6Hg(P10I)2,1.0085000000000006
Ag6HgGeSe6,0.011200000000000099
Ag6HgNO11,0.0
Ag6Mo10O33,1.8778000000000001
Ag6Mo10O33,1.771
Ag6Mo2ClO7F3,1.5595
Ag6P6O19,0.4276
Ag6S2IBr,0.5861000000000001
Ag6SbAsS6,1.4419999999999997
Ag6SnSb,0.0
Ag6Te4W3O20,2.4678
Ag7(PbO3)3,0.0
Ag7(PbO3)3,0.0
Ag7(SI)2,0.0
Ag7(SI)2,0.0
Ag7AsS6,0.5009999999999999
Ag7AsSe6,0.0
Ag7NO11,0.0
Ag7NO11,0.0
Ag7P3S11,1.4065999999999996
Ag7PS6,0.9116
Ag7PSe6,0.4411999999999998
Ag7Sb9O25,0.3775000000000004
Ag8Ge3O10,0.08620000000000005
Ag8GeS6,0.6102000000000003
Ag8GeSe6,0.0
Ag8GeTe6,0.0
Ag8GeTe6,0.0
Ag8GeTe6,0.07189999999999985
Ag8GeTe6,0.0387000000000004
Ag8Hg(AsO5)2,0.0484
Ag8Sb5As3S16,1.0255
Ag8SnS6,0.5350999999999999
Ag8SnSe6,0.0009999999999998899
Ag9(PbO3)4,0.0
Ag9(SI)4,0.0
Ag9Ge2IO8,0.0
Ag9Ge2NO11,0.07099999999999995
Ag9P14(OF)28,0.026499999999999968
Ag9Te4Br3,0.0
AgAs(S8F3)2,2.7366
AgAs(SeF2)3,1.6736
AgAs(XeF5)2,1.4049
AgAs3H2O9,0.8362
AgAsBr4,1.0937000000000001
AgAsC4S8(N2F3)2,2.4217
AgAsF6,1.6805999999999999
AgAsF7,0.0
AgAsO2,2.3783
AgAsO3,0.2921
AgAsO3,0.49849999999999994
AgAsO3,0.5616999999999999
AgAsPbS3,1.3859999999999997
AgAsS,0.0
AgAsS2,1.4968
AgAsS2,1.5178999999999996
AgAsSe,0.0
AgAsSe2,0.0
AgAu,0.0
AgAu,0.0
AgAu(IO3)4,1.2572999999999999
AgAu3,0.0
AgAu3,0.0
AgAu3,0.0
AgAuCl4,0.8406
AgAuF4,1.0268000000000002
AgAuF7,0.0
AgAuO2,0.0
AgAuO2,0.0
AgAuO2,0.5047999999999999
AgAuO3,0.24230000000000018
AgAuS2,0.2197
AgB10H26C6N,3.8864
AgB11H6CBr6,3.2973
AgB3O5,2.3274000000000004
AgB5H6N2Cl5,2.7748
AgBF4,3.157
AgBF5,0.0
AgBH2OF4,3.044
AgBH8C4(N2F)4,3.7801
AgBHC12(NF2)9,3.448
AgBO2,1.2098999999999998
AgBO3,0.0
AgBTe4C(OF4)5,3.5957
AgBTe4C2(O3F10)2,2.8863000000000003
AgBi(IO3)4,2.4344
AgBi(PS3)2,1.1837999999999997
AgBi(PSe3)2,1.2778
AgBi(WO4)2,2.9907
AgBi2F12,0.3971
AgBi2S3Cl,0.7834000000000003
AgBi2Se3Cl,0.5499999999999998
AgBi2WO8,0.13790000000000013
AgBi3PbS6,0.3102999999999998
AgBi3S5,0.5262000000000002
AgBiI4,0.9912000000000001
AgBiO2,0.7818
AgBiO2,1.6897000000000002
AgBiO2,1.4247
AgBiO2,1.2491000000000003
AgBiO2,0.9563999999999999
AgBiO3,0.0
AgBiO3,0.0
AgBiPbS3,0.0682999999999998
AgBiPd2,0.0
AgBiS2,0.49179999999999957
AgBiS2,0.23040000000000038
AgBiS2,0.5353000000000003
AgBiS2,0.3168999999999995
AgBiS2,0.0
AgBiSCl2,1.0752000000000002
AgBiSe2,0.0
AgBiSe2,0.2615999999999996
AgBiSe2,0.021099999999999675
AgBiSeS,0.0
AgBiTe2,0.0
AgBiTe2,0.0
AgBiTe2,0.0
AgBiTe2,0.0
AgBiTe3Pb,0.0
AgBiTeSe,0.0
AgBr,0.7303999999999999
AgBr,0.6990000000000001
AgBr,1.1708
AgBrO2,0.0
AgBrO2,0.0
AgBrO2,0.2785000000000001
AgBrO3,2.383
AgBrO4,1.2702
AgBrO4,0.6979
AgBrO4,0.8743000000000001
AgC4OF9,2.3671
AgCNO,3.0696
AgCO3,0.0
AgCS(OF)3,2.7068
AgCS2(O2F)3,3.306
AgCSN,2.2796999999999996
AgCSN,2.6921999999999997
AgCl,0.9522000000000002
AgCl,0.8720000000000001
AgCl,0.44379999999999975
AgCl,0.6022000000000001
AgClO3,2.7117
AgClO3,2.3983
AgClO3,2.925
AgClO3,2.9021999999999997
AgClO4,2.8481
AgClO4,2.6793000000000005
AgClO4,2.4294
AgClO4,2.3744
AgF,0.0
AgF2,0.0
AgF2,0.0
AgF3,0.2084999999999999
AgGe2N3,0.5654000000000003
AgGeBiTe3,0.0
AgGeO3,0.0
AgGeO3,0.0
AgGeO3,0.0
AgGeO3,0.0
AgGeO3,0.0
AgH,0.8512
AgH10Rh(N3O5)2,2.1401
AgH12C4S5N,1.7469999999999999
AgH12C4Se5N,1.238
AgH12C6N13O3,3.1463
AgH12N4F,3.4709000000000003
AgH14C3S3N6ClO,3.0284000000000004
AgH18C4S4BrN8O,3.103
AgH20S6N5O9,3.2499000000000002
AgH2C2N3O,3.2954
AgH2CS2N,1.9599
AgH2ClO5,2.8242
AgH2SNO3,2.8033
AgH36C15S3N6Cl,3.459
AgH36S8Br2(N3O4)3,3.1716
AgH36S8I2(N3O4)3,3.1575999999999995
AgH36S8N11O18,2.354
AgH3BrN,2.4608
AgH3CN2,3.0167
AgH3O2,1.0711
AgH4C2S2N3,2.8954
AgH4CSN2Cl,2.6044
AgH4WS4N,1.7101
AgH5S2O9,3.5225000000000004
AgH6CSN3,2.8991
AgH8C2S2BrN4,2.9647
AgH8C2S2N4Cl,0.0
AgH8C4N8F,3.5781
AgH8O5,0.29179999999999995
AgH9C2(NO)2,3.2944
AgH9O5,2.0934
AgHO2,0.0
AgHg,0.0
AgHg,0.0
AgHg2AsO4,0.7385999999999999
AgHg2NO5,0.5517
AgHg2PO4,1.1892000000000003
AgHg3,0.0
AgHg3As2Cl3,0.8397
AgHg3SbO6,0.7092999999999998
AgHgAsO4,0.0
AgHgAsS3,1.2453000000000003
AgHgO2,0.0
AgHgO2,0.0
AgHgPd2,0.0
AgHgSBr,1.2604
AgHgSI,1.3584
AgHgSI,1.1391000000000002
AgI,1.3877000000000002
AgI,0.7684000000000002
AgI,1.3674
AgI,1.5986
AgI,0.9588999999999999
AgI,1.3759000000000001
AgI,1.704
AgI2,0.0
AgI3O8,2.2937000000000003
AgI3O8,2.279
AgIO3,1.8068999999999997
AgIO3,2.4375
AgIO3,1.9765000000000001
AgIO4,0.11079999999999979
AgIrF7,0.0
AgMo12PbS16,0.0
AgMo2P3O13,2.0242999999999998
AgMo3(PO7)2,1.9584
AgMo3P3O16,1.3616
AgMo5P8O33,2.543
AgMo6(SeS)4,0.0
AgMo6Br13,2.0137
AgMo6Cl13,2.3227
AgMoAsO6,2.019
AgMoH4S4N,1.0969999999999998
AgMoO4,0.0
AgMoPO6,1.9427999999999999
AgNO2,1.7726
AgNO2,1.4382000000000001
AgNO3,1.8539
AgNO3,2.0088999999999997
AgNO3,2.1176
AgNO3,1.7204
AgO,0.0
AgO,0.0
AgO,0.11599999999999988
AgO,0.1826000000000001
AgO,0.0
AgO,0.0
AgO2F,0.49610000000000004
AgO2F,0.0
AgP(OF)2,1.9686
AgP(XeF5)2,1.3266
AgP15,1.2132000000000005
AgP2,0.6586999999999996
AgP2H8SN7O2,3.4266
AgP2H8SN7O2,3.1324
AgPF6,3.2361
AgPH6(NF3)2,3.2454
AgPHNO2,2.2209000000000003
AgPO3,1.9166
AgPO3,2.3488
AgPO4,0.0
AgPPd5,0.0
AgPPt5,0.0
AgPS3,1.3228
AgPb2Br5,1.9341
AgPb2Cl3OF,0.0
AgPb3,0.0
AgPb3,0.0
AgPb4ClO4,2.4109
AgPbBrO,0.1882999999999999
AgPbF6,0.21799999999999997
AgPbO2,0.03340000000000032
AgPbO2,0.14279999999999982
AgPbO3,0.0
AgPd,0.0
AgPd,0.0
AgPd(IO3)3,1.4039000000000006
AgPd2Au,0.0
AgPd3Se,0.0
AgPdAu2,0.0
AgPdF6,0.0
AgPdO2,0.0
AgPdO2,0.0
AgPt,0.0
AgPt,0.0
AgPt3,0.0
AgPt4,0.0
AgPtF6,0.0
AgPtO2,0.3870999999999998
AgPtO2,0.05549999999999988
AgRh(SO4)2,1.1739000000000002
AgRhF6,0.0
AgRhO2,0.6217999999999999
AgRhO2,0.49760000000000026
AgRuF7,0.0
AgRuO3,0.0
AgRuO4,0.0
AgS2(O3F)2,0.18779999999999997
AgSO3F,2.4337
AgSO4,0.0
AgSO4,0.06519999999999992
AgSO4,0.0
AgSO4,0.0
AgSb(PbS2)2,0.09809999999999963
AgSb(S8F3)2,2.6391999999999998
AgSb(SeF3)2,1.175
AgSb(Te8Pb7)2,0.7760999999999996
AgSb2F12,0.5397999999999998
AgSb3IF24,0.2893999999999999
AgSb3PbS6,1.1056
AgSb3PbS6,0.17549999999999955
AgSb3PbS6,1.5029
AgSb3PbS6,0.7599
AgSb3PbS6,1.2338000000000005
AgSbC2N2(ClF3)2,3.1523000000000003
AgSbC2N2(ClF3)2,4.2664
AgSbF6,1.7739
AgSbH2C2(NF3)2,2.8326000000000002
AgSbO3,0.0945999999999998
AgSbO3,0.13329999999999975
AgSbO3,0.0
AgSbO3,0.28749999999999964
AgSbPbS3,0.0
AgSbPbS3,1.0857
AgSbPbS3,0.5552000000000001
AgSbS(OF3)2,2.5773
AgSbS2,1.7447999999999997
AgSbS2,1.3126999999999995
AgSbS2,0.0
AgSbS2,0.07639999999999958
AgSbS2,0.0
AgSbS2,1.3716000000000004
AgSbS2,1.6033000000000002
AgSbSe2,0.0
AgSbSe2,0.0
AgSbSe2,0.0
AgSbSeS,0.0
AgSbTe2,0.0
AgSbTe2,0.0
AgSbTe2,0.0
AgSbTe2,0.0
AgSbTe3Pb,0.0
AgSbTe6S16(OF5)6,0.8025
AgSbTeSe,0.0
AgSbWO7,0.0
AgSe,0.0
AgSe3I,1.3963999999999999
AgSe5,0.0
AgSn3,0.0
AgSnF6,0.40559999999999996
AgSnO3,0.0
AgSnS2,0.0
AgSnSe2,0.0
AgSnTe2,0.0
AgTe,0.24110000000000031
AgTe3,0.0
AgTe3,0.0
AgTe3I,1.0025
AgTe4Au,0.0
AgTeNO5,2.0214
AgTeO3,1.6662000000000003
AgTeO3,1.4211
AgTeO3,1.1676000000000002
AgW2(Br3O)2,0.0
AgW3Br7,2.5046
AgW6CCl18,0.07999999999999963
AgXeF9,1.4980000000000002
Al,0.0
Al,0.0
Al,0.0
Al,0.0
Al,0.0
Al,0.0
Al,0.0
Al,0.0
Al,0.0
Al(Ag3S2)3,0.7057
Al(Ag3Se2)3,0.0
Al(BH4)3,6.2431
Al(Bi3O5)4,0.0
Al(BiCl)4,1.4598000000000002
Al(BiO3)3,0.20909999999999984
Al(C2N3)3,3.9826999999999995
Al(CoO2)2,0.0
Al(CoO2)2,0.0
Al(CoO2)3,0.0
Al(CoS2)2,0.0
Al(CoS2)2,0.0
Al(CoSi)2,0.0
Al(CrB)2,0.0
Al(CuO2)2,0.0
Al(FeB)2,0.0
Al(FeO2)2,1.0647000000000002
Al(FeO2)2,0.0
Al(FeO2)3,1.1286
Al(FeS2)2,0.0
Al(HO)3,4.9007000000000005
Al(HO)3,5.7600999999999996
Al(HO)3,5.0975
Al(HO)3,4.9076
Al(HO)3,5.0085
Al(HO)3,4.9269
Al(HO)3,5.0602
Al(HO)3,5.2187
Al(HO)3,4.9472000000000005
Al(HO)3,4.9764
Al(HO)3,5.2193000000000005
Al(HO)3,4.6615
Al(HO)3,4.8633
Al(HO)3,4.7202
Al(HO)3,4.8775
Al(HO)3,4.3037
Al(HO)3,4.5931999999999995
Al(HO)3,4.614999999999999
Al(HO)3,4.3399
Al(HO)3,4.9129000000000005
Al(HO)3,4.7632
Al(HO)3,4.9443
Al(HO)3,5.002
Al(HO)3,3.8840000000000003
Al(HO)3,4.9815000000000005
Al(HO)3,3.8282000000000003
Al(HO)3,5.081799999999999
Al(HO)3,4.697299999999999
Al(HO)3,4.5759
Al(HO)3,4.9816
Al(HO)3,4.748200000000001
Al(HO)3,3.8913
Al(HO)3,4.8222000000000005
Al(HO)3,5.0094
Al(HO)3,3.8335999999999997
Al(HO)3,4.2797
Al(HO)3,4.9382
Al(HO)3,5.8109
Al(ICl2)3,1.7106
Al(IO3)3,3.3465999999999996
Al(MoS2)12,0.0
Al(MoS2)12,0.0
Al(MoS2)4,0.0
Al(MoS2)4,0.11040000000000028
Al(Ni10B7)2,0.0
Al(Ni3B2)4,0.0
Al(Ni4Pt)3,0.0
Al(NiO2)2,0.14280000000000026
Al(NiO2)2,0.0
Al(NiO2)3,0.0
Al(NiS2)2,0.0
Al(PO3)3,5.8176
Al(PO3)3,5.6283
Al(PO3)3,5.625
Al(PO3)3,5.512499999999999
Al(PS3)2,0.0
Al(SeCl)4,1.1038000000000001
Al(SeCl2)2,1.3809
Al(Si2O5)2,0.0
Al(SiO3)2,0.0
Al(SiO3)2,0.0
Al(SiO3)2,0.0
Al(SiO3)2,0.0
Al(SiO3)2,2.9224
Al(TeCl2)2,1.3285
Al(V4Ge)3,0.0
Al(V4Si)3,0.0
Al(V4Sn)3,0.0
Al(VS2)4,0.0
Al(WF5)3,3.003
Al10Ge2O19,2.1205
