formula,FE
Y4Si3O11F2,-3.771944116874999
Zr3InF15,-3.771504395921052
Rb5Zr4F21,-3.770849327
Ce3Y4O12,-3.770805206052629
K2HoF5,-3.769428384
K2DyF5,-3.768263442187499
Ho3TaO7,-3.76749085021212
LiCaUF8,-3.767349779242441
Tm4BClO7,-3.7647377653205134
BaSrTm4O8,-3.764532897857144
HfMnF6,-3.764335555366378
CeZr11O24,-3.76384586402778
EuEr2O4,-3.763081468214285
K2TbF5,-3.762837502020833
Dy3TaO7,-3.761561672939391
Y2TiO5,-3.760628625833334
Ba2ErPaO6,-3.7606173464999983
CeZr7O16,-3.760169677083335
CeO2,-3.760158946666666
La5Ti5O17,-3.76011807015432
La5AlSi2O13,-3.7592194548809537
BaY2Si2O7F2,-3.7591004205357135
RbUF5,-3.758834451785724
Sm2O3,-3.758369432749999
Ce3Dy2O9,-3.757434969017857
Lu2SiO5,-3.757276808854165
Sm4Al2O9,-3.754476945500002
Ce5Y2O13,-3.754195181874991
Rb2HfF6,-3.7541694733333295
ThTlF5,-3.7539969374999975
Sm3B2(O2F)3,-3.753270821488095
BaNd2Sc2O7,-3.752934517916666
Ce4SmO9,-3.752165461517836
TbSmO3,-3.752142351375
SrTm2O4,-3.751851594642858
Ce4GdO9,-3.7515944425892656
Ba2YTi2F11,-3.751467830885416
Er4BClO7,-3.7488301147435874
UO2,-3.747575761666667
Ho2SeOF2,-3.746281764357649
Ce4Y2O11,-3.745302583382351
K2YF5,-3.7442841999375007
Ba2AlZnF9,-3.744153893846154
DyAlO3,-3.743374374833332
La3TaTi2O11,-3.7427519312647046
Y3TaO7,-3.742568927030303
BaSrEr4O8,-3.740647189642856
Y2Zr24O51,-3.740496005487017
Tb2SeOF2,-3.740186511918405
Tb3NbO7,-3.739839035681815
Rb2NaAl6F21,-3.739636558295977
Ba2DyPaO6,-3.7392608816666666
CeZr3O8,-3.7390797
CeZr9O20,-3.739002954666671
Ce4ZrO10,-3.738764382666663
EuHo2O4,-3.738584334285712
TbGdO3,-3.738428308375001
CaZrTlF7,-3.7379122235833337
Rb2LaF5,-3.7377635609375
Pm2O3,-3.737723392999999
LaY3Ti4O14,-3.737565978787877
La20Al3Si9O52,-3.737427480476192
Er2Zr8O19,-3.737384612557472
CsMgAlF6,-3.737334251072797
NaZr2TiF11,-3.7372629954808425
TbAlO3,-3.7371225423333327
La2Ce2O7,-3.7369937936363615
Nd4Zr3TiO14,-3.736336106098479
Ho4BClO7,-3.735524496666664
YErAl2O6,-3.734110891999998
Ce3ZrO8,-3.7340763475
BaTm2O4,-3.733425583214287
Cs2HfF6,-3.733029050555555
La3YTi4O14,-3.7328146851515154
CeZr6O14,-3.73275405452381
CaHfO3,-3.732599987
Ce3Zr5O16,-3.731539051250001
Ba2YMn2F11,-3.731165449376796
Ce8Gd2O19,-3.7309578521551754
Gd2SiO5,-3.730262043125011
ZrU9O20,-3.729899787999998
Tm2SiO5,-3.729077897187501
NaZr2VF11,-3.7289945179252872
CaZr4O9,-3.72852914991072
Rb2Tb3AlF16,-3.7278041602272727
Dy4BClO7,-3.727257309679485
RbMgAlF6,-3.726326656388889
K2SmF5,-3.7263264965625
Gd3B2(O2F)3,-3.725917611488096
La9ErO15,-3.7249789533583337
Sr5U5O18,-3.724963930535712
K2HfF6,-3.724599704166666
Tb3PO7,-3.7245156046969705
Er2SiO5,-3.724432567083333
AcScO3,-3.724347496500002
Ce5Gd2O13,-3.724277966624996
Ce5Sm2O13,-3.724069810624994
Ba2YV2F11,-3.723904662968749
K5Sc3F14,-3.723795938579546
Gd6S3(OF4)2,-3.723790264342106
SrCa3Hf4O12,-3.723593198249998
CaLa4Si3O13,-3.7234048498809527
SrLa4Si3O13,-3.72307477559524
Lu3Al5O12,-3.722745844375
NaZr2MnF11,-3.721846640454023
Ba2SrTm6O12,-3.721255603809525
Ho2Zr8O19,-3.7207338571551727
Sr3CaHf4O12,-3.72042527125
Ho3Si3O10F,-3.7199622495588223
LaAlO3,-3.7198849324999994
Tm2MgTiO6,-3.7197029733333338
CsCaF3,-3.7191043905
EuDy2O4,-3.717979476904761
