formula,FE
AlPS,-0.6322333333333333
Al5(PS)3,-0.7725363636363636
Al2PS,-0.578275
GaPS4,-0.4351333333333333
Ga2P4S13,-0.31848947368421054
GaPS3,-0.30002
GaP2S7,-0.20525000000000002
Ga2(PS3)3,-0.38499285714285714
GaPS,-0.3285666666666667
Ga5(PS)3,-0.4954454545454546
Ga2PS,-0.328775
InPS4,-0.38058333333333333
In2P4S13,-0.31829999999999997
InPS3,-0.30976
InP2S7,-0.20212
In2(PS3)3,-0.3946642857142857
InPS,-0.2554666666666667
In5(PS)3,-0.29403636363636365
In2PS,-0.304125
Ge2P2S7,-0.18028181818181818
Ge2(PS3)3,-0.1903642857142857
Ge3(PS4)2,-0.2569846153846154
Ge4P2S,0.1348714285714286
Ge(PS3)2,-0.2273777777777778
GePS,-0.09576666666666667
GePS3,-0.27074
GeP2S7,-0.18261
Ge(PS4)2,-0.1478909090909091
Ge(PS3)4,-0.1529294117647059
Ge2P3S,0.22975
SnP3,-0.0261
Sn4P3,-0.05602857142857143
SnP,-0.0441
Sn2P2S7,-0.30484545454545453
Sn2(PS3)3,-0.25945
Sn3(PS4)2,-0.3848153846153846
Sn4P2S,-0.02547142857142857
Sn(PS3)2,-0.3088888888888889
SnPS,-0.1733
SnPS3,-0.38966
SnP2S7,-0.24557
Sn(PS4)2,-0.20267272727272728
Sn(PS3)4,-0.18890588235294117
Sn2P3S,0.12721666666666667
PbS,-0.5485
P2Pb2S7,-0.37424545454545455
P3Pb2S9,-0.29669285714285715
P2Pb3S8,-0.46397692307692306
P2Pb4S,-0.06244285714285714
P2PbS6,-0.18985555555555556
PPbS,-0.1862
PPbS3,-0.4678
P2PbS7,-0.12964
P2PbS8,-0.18337272727272727
P4PbS12,-0.14024117647058823
P3Pb2S,0.24531666666666666
P2PbS4,-0.21547142857142856
SbP2,0.0733
Sb(PS4)2,-0.14562727272727274
Sb2PS10,-0.08036923076923076
SbPS,-0.06713333333333334
SbPS4,-0.28841666666666665
SbPS6,-0.0922375
Sb2P4S13,-0.25072105263157896
SbPS3,-0.12616
SbP2S7,-0.17182
Sb2(PS3)3,-0.24794999999999998
Sb5(PS)3,-0.058036363636363636
Sb2PS,-0.000625
Sb2PS2,-0.17884
Sb3PS6,-0.22761
BiPS4,-0.3457333333333333
Bi2P4S13,-0.2863421052631579
BiPS3,-0.24853999999999998
BiP2S7,-0.16601
Bi2(PS3)3,-0.30679285714285714
BiPS,-0.12676666666666667
Bi5(PS)3,-0.09562727272727273
Bi2PS,-0.071575
BiPS6,-0.029225
Bi(PS4)2,-0.18234545454545453
Bi2PS10,-0.12319999999999999
Ti(PS3)2,-0.6035111111111111
TiP2S7,-0.53233
Ti(PS4)2,-0.5193636363636364
Ti(PS3)4,-0.38194117647058823
Ti2P3S,-0.9766499999999999
TiPS,-1.1001666666666667
